# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
BLUEPRINT,HOME,1,Mission Control,landing,Awareness,v2/home/mission-control.mdx,STUB,21,true,true,,,
BLUEPRINT,HOME,2,Livepeer Primer,overview,Awareness,v2/home/primer.mdx,EXISTS,599,true,true,banned:just,,
BLUEPRINT,HOME,2,What You Can Build,overview,Awareness,v2/home/get-started/build-on-livepeer.mdx,STUB,2,true,true,,,
BLUEPRINT,HOME,2,The Livepeer Ecosystem,overview,Awareness,v2/home/about-livepeer/ecosystem.mdx,EXISTS,1871,true,true,banned:just,,
BLUEPRINT,DEVELOPERS,1,Developer Portal,landing,Awareness,v2/developers/portal.mdx,EXISTS,68,true,true,,,
BLUEPRINT,DEVELOPERS,2,AI on Livepeer,overview,Awareness,v2/developers/ai-pipelines/overview.mdx,EXISTS,843,true,true,,,
BLUEPRINT,DEVELOPERS,2,Video on Livepeer,overview,Awareness,v2/developers/quickstart/video/video-streaming.mdx,EXISTS,102,true,true,,,
BLUEPRINT,DEVELOPERS,2,Choose Your Integration Path,concept,Awareness,v2/developers/developer-path.mdx,EXISTS,699,true,true,,,
BLUEPRINT,DEVELOPERS,2,BYOC — Bring Your Own Container,concept,Product,v2/developers/ai-pipelines/byoc.mdx,EXISTS,632,true,true,banned:just,,
BLUEPRINT,DEVELOPERS,3,AI Quickstart,tutorial,Activation,v2/developers/quickstart/ai/ai-jobs.mdx,EXISTS,447,true,true,,,
BLUEPRINT,DEVELOPERS,3,Video Quickstart,tutorial,Activation,v2/developers/quickstart/video/transcoding-jobs.mdx,EXISTS,416,true,true,,,
BLUEPRINT,DEVELOPERS,4,AI Pipeline Guide,how_to,Retention,v2/developers/quickstart/ai/ai-pipelines.mdx,EXISTS,142,true,true,,,
BLUEPRINT,DEVELOPERS,4,Video Integration Guide,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,4,Production Integration Guide,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,4,Studio Migration Guide,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,5,Outgrowing Hosted? Run Your Own Gateway,guide,Product,v2/gateways/run-a-gateway/why-run-a-gateway.mdx,EXISTS,620,true,true,banned:just; banned:leverage,,
BLUEPRINT,DEVELOPERS,5,Builder Opportunities,overview,Referral,v2/developers/builder-opportunities/overview.mdx,EXISTS,359,true,true,,,
BLUEPRINT,DEVELOPERS,5,Grants & Programmes,reference,Referral,v2/developers/builder-opportunities/grants-and-programmes.mdx,EXISTS,983,true,true,,,
