# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
BLUEPRINT,HOME,1,Mission Control,landing,Awareness,v2/home/mission-control.mdx,STUB,21,true,true,,,
BLUEPRINT,HOME,2,Livepeer Primer,overview,Awareness,v2/home/primer.mdx,EXISTS,380,true,true,banned:just,,
BLUEPRINT,HOME,2,What You Can Build,overview,Awareness,v2/home/get-started/build-on-livepeer.mdx,MISSING,0,false,false,,,
BLUEPRINT,HOME,2,The Livepeer Ecosystem,overview,Awareness,v2/home/about/ecosystem.mdx,STUB,0,true,true,,,
BLUEPRINT,DEVELOPERS,1,Developer Portal,landing,Awareness,v2/developers/portal.mdx,EXISTS,78,true,true,,,
BLUEPRINT,DEVELOPERS,2,AI on Livepeer,overview,Awareness,v2/developers/ai-pipelines/overview.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,2,Video on Livepeer,overview,Awareness,v2/developers/livepeer-real-time-video/page-1.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,2,Choose Your Integration Path,concept,Awareness,v2/developers/building-on-livepeer/quick-starts/README.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,2,BYOC — Bring Your Own Container,concept,Product,v2/developers/ai-pipelines/comfystream.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,3,AI Quickstart,tutorial,Activation,v2/gateways/quickstart/AI-prompt.mdx,PLACEHOLDER,86,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,DEVELOPERS,3,Video Quickstart,tutorial,Activation,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,4,AI Pipeline Guide,how_to,Retention,v2/developers/ai-pipelines/overview.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,4,Video Integration Guide,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,4,Production Integration Guide,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,4,Studio Migration Guide,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,5,Outgrowing Hosted? Run Your Own Gateway,guide,Product,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,5,Builder Opportunities,overview,Referral,v2/developers/builder-opportunities/oss-contributions.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,5,Grants & Programmes,reference,Referral,v2/developers/builder-opportunities/rfps-and-proposals.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,5,Bug Bounties,reference,Referral,v2/developers/builder-opportunities/livepeer-rfps.mdx,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,6,AI Model & Pipeline Support,reference,Awareness,,MISSING,0,false,false,,,
BLUEPRINT,DEVELOPERS,6,Developer Troubleshooting,troubleshooting,Product,v2/developers/guides-and-resources/developer-help.mdx,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,1,Solutions Portal,landing,Awareness,v2/solutions/portal.mdx,PLACEHOLDER,357,true,true,banned:simply,,
BLUEPRINT,SOLUTIONS,2,Platform Comparison,overview,Awareness,,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,2,Studio Overview,overview,Awareness,v2/developers/developer-platforms/livepeer-studio/livepeer-studio.mdx,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,2,Daydream Overview,overview,Awareness,v2/developers/developer-platforms/daydream/daydream.mdx,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,3,Studio Quickstart,tutorial,Activation,v2/solutions/livepeer-studio/getting-started/quickstart.mdx,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,3,Daydream Quickstart,tutorial,Activation,,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,4,Studio Guides,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,4,Daydream Guides,how_to,Retention,,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,6,Studio API Reference,reference,Product,v2/solutions/livepeer-studio/docs/api-reference/overview.mdx,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,6,Daydream API Reference,reference,Product,,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,6,Studio SDKs,reference,Product,v2/solutions/livepeer-studio/sdks/overview.mdx,MISSING,0,false,false,,,
BLUEPRINT,SOLUTIONS,6,Daydream SDKs,reference,Product,,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,1,Gateways Portal,landing,Awareness,v2/gateways/portal.mdx,PLACEHOLDER,102,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,GATEWAYS,2,What is a Gateway?,overview,Awareness,v2/gateways/about/explainer.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,2,Gateway Requirements & Economics,concept,Awareness,v2/gateways/about/economics.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,3,Gateway Quickstart,tutorial,Activation,v2/gateways/quickstart/gateway-setup.mdx,PLACEHOLDER,311,true,true,,,
BLUEPRINT,GATEWAYS,4,Going Live — Marketplace & Pricing,how_to,Revenue,v2/gateways/guides-and-resources/going-live.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,4,Gateway Operations Guide,how_to,Retention,v2/gateways/guides-and-resources/monitoring-and-metrics.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,4,Gateway Payment & Economics,concept,Revenue,v2/gateways/about/economics.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,5,Public Gateway Providers,guide,Awareness,v2/gateways/using-gateways/choosing-a-gateway.mdx,MISSING,0,false,false,,,
BLUEPRINT,GATEWAYS,5,Using Cloud SPE Gateway,guide,Acquisition,v2/gateways/using-gateways/gateway-providers/cloud-spe-gateway.mdx,MISSING,0,false,false,,,
