PATH	PURPOSE	AUDIENCE	SOURCE	CHANGED
v2/about/core-concepts.mdx	concept	general	content	yes
v2/about/livepeer-network/actors.mdx	concept	general	content	yes
v2/about/livepeer-network/interfaces.mdx	unclassified	general	none	yes
v2/about/livepeer-network/job-lifecycle.mdx	how_to	general	content	yes
v2/about/livepeer-network/marketplace.mdx	concept	general	content	yes
v2/about/livepeer-network/overview.mdx	overview	general	filename	yes
v2/about/livepeer-network/technical-architecture.mdx	concept	general	content	yes
v2/about/livepeer-overview.mdx	overview	general	filename	yes
v2/about/livepeer-protocol/core-mechanisms.mdx	faq	general	content	yes
v2/about/livepeer-protocol/economics.mdx	concept	general	content	yes
v2/about/livepeer-protocol/governance-model.mdx	how_to	general	content	yes
v2/about/livepeer-protocol/livepeer-token.mdx	concept	general	content	yes
v2/about/livepeer-protocol/overview.mdx	overview	all	filename	yes
v2/about/livepeer-protocol/technical-architecture.mdx	how_to	general	content	yes
v2/about/livepeer-protocol/treasury.mdx	concept	general	content	yes
v2/about/mental-model.mdx	faq	general	content	yes
v2/about/portal.mdx	landing	general	filename	yes
v2/about/resources/blockchain-contracts.mdx	faq	general	content	yes
v2/about/resources/gateways-vs-orchestrators.mdx	unclassified	general	none	yes
v2/about/resources/livepeer-glossary.mdx	glossary	general	filename	yes
v2/about/resources/livepeer-whitepaper.mdx	unclassified	general	none	yes
v2/about/resources/technical-roadmap.mdx	unclassified	general	none	yes
v2/community/community-portal.mdx	landing	community	filename	yes
v2/community/faq.mdx	faq	everyone	filename	yes
v2/community/livepeer-community/community-guidelines.mdx	concept	everyone	content	yes
v2/community/livepeer-community/governance-and-foundation.mdx	how_to	gateway,orchestrator,delegator,developer,everyone	content	yes
v2/community/livepeer-community/livepeer-latest-topics.mdx	unclassified	everyone	none	no
v2/community/livepeer-community/roadmap.mdx	landing	community	content	yes
v2/community/livepeer-community/trending-topics.mdx	unclassified	community	none	yes
v2/community/livepeer-connect/events-and-community-streams.mdx	unclassified	everyone	none	no
v2/community/livepeer-connect/forums-and-discussions.mdx	concept	everyone	content	yes
v2/community/livepeer-connect/news-and-socials.mdx	unclassified	community	none	yes
v2/community/livepeer-contribute/build-livepeer.mdx	unclassified	developer,gateway,orchestrator	none	no
v2/community/livepeer-contribute/contribute.mdx	unclassified	community	none	yes
v2/community/livepeer-contribute/opportunities.mdx	unclassified	developer,gateway,orchestrator	none	no
v2/community/resources/awesome-livepeer.mdx	concept	everyone	content	yes
v2/community/resources/dashboards.mdx	landing	everyone	content	yes
v2/community/resources/guides.mdx	concept	everyone	content	yes
v2/developers/ai-pipelines/byoc.mdx	concept	developer	content	yes
v2/developers/ai-pipelines/comfystream.mdx	unclassified	developer	none	yes
v2/developers/ai-pipelines/model-support.mdx	concept	developer	content	yes
v2/developers/ai-pipelines/overview.mdx	overview	developer	filename	yes
v2/developers/ai-pipelines/workload-fit.mdx	concept	developer	content	yes
v2/developers/builder-opportunities/bug-bounties.mdx	how_to	security-researchers,protocol-contributors,developers	content	yes
v2/developers/builder-opportunities/grants-and-programmes.mdx	how_to	developers,app-builders,ai-workflow-creators,orchestrators,researchers	content	yes
v2/developers/builder-opportunities/oss-contributions.mdx	how_to	developers,protocol-contributors,documentation-contributors,security-researchers	content	yes
v2/developers/builder-opportunities/overview.mdx	overview	developers,app-builders,gateway-operators,orchestrators,protocol-contributors	filename	yes
v2/developers/builder-opportunities/rfps-and-proposals.mdx	how_to	developers,teams,ecosystem-builders,organisations	content	yes
v2/developers/developer-path.mdx	concept	developer	content	yes
v2/developers/developer-tools/dashboards.mdx	unclassified	developer	none	yes
v2/developers/developer-tools/livepeer-cloud.mdx	unclassified	developer	none	yes
v2/developers/developer-tools/livepeer-explorer.mdx	unclassified	developer	none	yes
v2/developers/developer-tools/tooling-hub.mdx	landing	developer	content	yes
v2/developers/guides-and-tools/contribution-guide.mdx	how_to	developer	content	yes
v2/developers/guides-and-tools/developer-guides.mdx	concept	developer	content	yes
v2/developers/guides-and-tools/developer-help.mdx	faq	developer	content	yes
v2/developers/guides-and-tools/resources.mdx	concept	developer	content	yes
v2/developers/portal.mdx	landing	developer	filename	yes
v2/developers/quickstart/ai/ai-jobs.mdx	concept	developer	content	yes
v2/developers/quickstart/ai/ai-pipelines.mdx	unclassified	developer	none	yes
v2/developers/quickstart/video/transcoding-jobs.mdx	concept	developer	content	yes
v2/developers/quickstart/video/video-streaming.mdx	unclassified	developer	none	yes
v2/developers/technical-references/apis.mdx	landing	developer	content	yes
v2/developers/technical-references/awesome-livepeer.mdx	landing	developer	content	yes
v2/developers/technical-references/deepwiki.mdx	landing	developer	content	yes
v2/developers/technical-references/sdks.mdx	landing	developer	content	yes
v2/developers/technical-references/wiki.mdx	landing	developer	content	yes
v2/gateways/about/architecture.mdx	landing	gateway-operator	content	yes
v2/gateways/about/economics.mdx	concept	gateway-operator	content	yes
v2/gateways/about/explainer.mdx	faq	gateway-operator	content	yes
v2/gateways/about/functions.mdx	unclassified	gateway-operator	none	yes
v2/gateways/gateway-tools/explorer.mdx	landing	gateway-operator	content	yes
v2/gateways/gateway-tools/livepeer-tools.mdx	landing	gateway-operator	content	yes
v2/gateways/gateways-portal.mdx	landing	gateway-operator	filename	yes
v2/gateways/payments/how-payments-work.mdx	concept	gateway-operator	content	yes
v2/gateways/payments/payment-clearinghouse.mdx	concept	gateway-operator,developer	content	yes
v2/gateways/quickstart/AI-prompt.mdx	unclassified	gateway-operator	none	yes
v2/gateways/quickstart/gateway-setup.mdx	how_to	gateway-operator	content	yes
v2/gateways/references/api-reference/AI-API/ai.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/audio-to-text.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/hardware-info.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/hardware-stats.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/health.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/image-to-image.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/image-to-text.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/image-to-video.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/live-video-to-video.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/llm.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/segment-anything-2.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/text-to-image.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/text-to-speech.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/AI-API/upscale.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/activateorchestrator.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/cli-http-api.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/rebond.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/reward.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/setbroadcastconfig.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/setmaxpriceforcapability.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/signmessage.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/transfertokens.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/api-reference/CLI-HTTP/unbond.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/arbitrum-exchanges.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/arbitrum-rpc.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/cli-commands.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/configuration-flags.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/livepeer-exchanges.mdx	reference	gateway-operator	directory	yes
v2/gateways/references/technical-architecture.mdx	reference	gateway-operator	directory	yes
v2/gateways/run-a-gateway/configure/ai-configuration.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/configure/configuration-overview.mdx	overview	gateway-operator	filename	yes
v2/gateways/run-a-gateway/configure/dual-configuration.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/configure/pricing-configuration.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/configure/video-configuration.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/connect/connect-with-offerings.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/connect/discover-offerings.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/connect/lp-marketplace.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/gateway-operator-opportunities.mdx	faq	gateway-operator	content	yes
v2/gateways/run-a-gateway/install/community-projects.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/install/docker-install.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/install/install-overview.mdx	overview	gateway-operator	filename	yes
v2/gateways/run-a-gateway/install/linux-install.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/install/windows-install.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/monitor/monitor-and-optimise.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/requirements/on-chain setup/fund-gateway.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/requirements/on-chain setup/on-chain.mdx	how_to	gateway-operator	content	yes
v2/gateways/run-a-gateway/requirements/setup.mdx	concept	gateway-operator	content	yes
v2/gateways/run-a-gateway/run-a-gateway.mdx	unclassified	gateway-operator	none	yes
v2/gateways/run-a-gateway/transcoding.mdx	how_to	gateway-operator	content	yes
v2/gateways/run-a-gateway/why-run-a-gateway.mdx	faq	gateway-operator	content	yes
v2/gateways/using-gateways/choosing-a-gateway.mdx	concept	developer, gateway-operator	content	yes
v2/gateways/using-gateways/gateway-providers/cloud-spe-gateway.mdx	concept	developer	content	yes
v2/gateways/using-gateways/gateway-providers/daydream-gateway.mdx	concept	developer	content	yes
v2/gateways/using-gateways/gateway-providers/livepeer-studio-gateway.mdx	concept	developer	content	yes
v2/home/about-livepeer/benefits.mdx	concept	everyone	content	yes
v2/home/about-livepeer/ecosystem.mdx	concept	everyone	content	yes
v2/home/about-livepeer/evolution.mdx	unclassified	everyone	none	yes
v2/home/about-livepeer/roadmap.mdx	unclassified	everyone	none	yes
v2/home/about-livepeer/vision.mdx	unclassified	everyone	none	yes
v2/home/get-started.mdx	tutorial	everyone	filename	yes
v2/home/mission-control.mdx	landing	everyone	filename	yes
v2/home/primer.mdx	tutorial	everyone	filename	yes
v2/home/solutions/applications.mdx	landing	everyone	content	yes
v2/home/solutions/showcase.mdx	unclassified	everyone	none	yes
v2/home/solutions/verticals.mdx	unclassified	everyone	none	yes
v2/internal/overview/about.mdx	landing	internal	content	yes
v2/internal/overview/docs-philosophy.mdx	unclassified	internal	none	yes
v2/internal/overview/governance.mdx	how_to	internal	content	yes
v2/internal/overview/personas.mdx	unclassified	internal	none	yes
v2/internal/overview/strategic-alignment.mdx	unclassified	internal	none	yes
v2/internal/rfp/aims.mdx	unclassified	internal	none	yes
v2/internal/rfp/deliverables.mdx	unclassified	internal	none	yes
v2/internal/rfp/outcomes.mdx	unclassified	internal	none	yes
v2/internal/rfp/problem-statements.mdx	faq	internal	content	yes
v2/internal/rfp/report.mdx	concept	internal	content	yes
v2/lpt/about/mechanics.mdx	concept	delegator	content	yes
v2/lpt/about/overview.mdx	overview	delegator	filename	yes
v2/lpt/about/purpose.mdx	concept	delegator	content	yes
v2/lpt/about/tokenomics.mdx	concept	delegator	content	yes
v2/lpt/delegation/about-delegators.mdx	concept	delegator	content	yes
v2/lpt/delegation/delegation-economics.mdx	unclassified	delegator	none	yes
v2/lpt/delegation/delegation-guide.mdx	concept	delegator	content	yes
v2/lpt/delegation/getting-started.mdx	concept	delegator	content	yes
v2/lpt/delegation/overview.mdx	overview	delegator	filename	yes
v2/lpt/governance/model.mdx	concept	delegator	content	yes
v2/lpt/governance/overview.mdx	overview	delegator	filename	yes
v2/lpt/governance/processes.mdx	how_to	delegator	content	yes
v2/lpt/resources/delegator-videos-and-blogs.mdx	unclassified	delegator	none	yes
v2/lpt/resources/exchanges.mdx	concept	delegator	content	yes
v2/lpt/resources/lpt-eth-usage.mdx	unclassified	delegator	none	yes
v2/lpt/token-portal.mdx	landing	delegator	filename	yes
v2/lpt/treasury/allocations.mdx	concept	delegator	content	yes
v2/lpt/treasury/overview.mdx	overview	delegator	filename	yes
v2/lpt/treasury/proposals.mdx	how_to	delegator	content	yes
v2/orchestrators/about-orchestrators/architecture.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/about-orchestrators/economics.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/about-orchestrators/job-types.mdx	landing	orchestrator	content	yes
v2/orchestrators/about-orchestrators/orchestrator-functions.mdx	concept	orchestrator	content	yes
v2/orchestrators/about-orchestrators/overview.mdx	overview	orchestrator	filename	yes
v2/orchestrators/advanced-setup/ai-pipelines.mdx	landing	orchestrator	content	yes
v2/orchestrators/advanced-setup/delegation.mdx	landing	orchestrator	content	yes
v2/orchestrators/advanced-setup/hosting-models.mdx	concept	orchestrator	content	yes
v2/orchestrators/advanced-setup/rewards-and-fees.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/advanced-setup/run-a-pool.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/advanced-setup/staking-LPT.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/earnings.mdx	concept	orchestrator	content	yes
v2/orchestrators/orchestrator-journey.mdx	how_to	orchestrator	content	yes
v2/orchestrators/orchestrator-tools-and-resources/community-pools.mdx	landing	orchestrator	content	yes
v2/orchestrators/orchestrator-tools-and-resources/orchestrator-community-and-help.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/orchestrator-tools-and-resources/orchestrator-guides.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/orchestrator-tools-and-resources/orchestrator-resources.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/orchestrator-tools-and-resources/orchestrator-tools.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/orchestrators-portal.mdx	landing	orchestrator	filename	yes
v2/orchestrators/payments/index.mdx	landing	orchestrator	filename	yes
v2/orchestrators/quickstart/batch-ai-quickstart.mdx	tutorial	orchestrator	filename	yes
v2/orchestrators/quickstart/join-a-pool.mdx	faq	orchestrator	content	yes
v2/orchestrators/quickstart/orchestrator-setup.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/quickstart/overview.mdx	overview	orchestrator	filename	yes
v2/orchestrators/quickstart/realtime-ai-quickstart.mdx	tutorial	orchestrator	filename	yes
v2/orchestrators/references/cli-flags.mdx	reference	orchestrator	directory	yes
v2/orchestrators/references/faq.mdx	faq	orchestrator	filename	yes
v2/orchestrators/setting-up-an-orchestrator/data-centres-and-large-scale-hardware-providers.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/setting-up-an-orchestrator/hardware-requirements.mdx	unclassified	orchestrator	none	yes
v2/orchestrators/setting-up-an-orchestrator/orchestrator-stats.mdx	unclassified	orchestrator	none	yes
